transaction_id,customer_id,transaction_date,channel,direction,amount,counterparty_country,high_risk_geo_flag,case_id
TX313665,CUST10180,2026-03-05,Card,Credit,486.57,United States,0,CASE0001
TX319258,CUST10180,2026-04-27,Wire,Debit,16692.27,Russia,1,CASE0001
TX308576,CUST10180,2026-04-25,Check,Debit,17490.9,Russia,1,CASE0001
TX300037,CUST10180,2026-05-21,Wire,Debit,17159.88,United Arab Emirates,1,CASE0001
TX305454,CUST10180,2026-01-02,ACH,Credit,7202.91,United Kingdom,0,CASE0001
TX321844,CUST10180,2026-03-04,ACH,Credit,1700.61,Mexico,0,CASE0001
TX303642,CUST10180,2026-01-03,P2P,Debit,8794.94,Mexico,0,CASE0001
TX319203,CUST10180,2026-07-26,Card,Debit,10323.34,Russia,1,CASE0001
TX321083,CUST10180,2026-06-07,Check,Debit,11145.9,United Kingdom,0,CASE0001
TX311129,CUST10180,2026-01-12,ACH,Debit,1114.21,India,0,CASE0001
TX318466,CUST10180,2026-01-24,ACH,Debit,5977.13,United Kingdom,0,CASE0001
TX304083,CUST10180,2026-05-14,ACH,Credit,4489.37,Mexico,0,CASE0001
TX319179,CUST10180,2026-03-28,ACH,Credit,14409.56,United States,0,CASE0001
TX320015,CUST10180,2026-09-21,ACH,Credit,11919.26,United Arab Emirates,1,CASE0001
TX304265,CUST10180,2026-03-17,P2P,Credit,4510.47,Russia,1,CASE0001
TX321236,CUST10180,2026-07-22,ACH,Debit,1958.63,United Arab Emirates,1,CASE0001
TX302471,CUST10180,2026-04-07,Wire,Debit,2250.59,Mexico,0,CASE0001
TX304651,CUST10180,2026-06-20,Card,Debit,1951.77,China,0,CASE0001
TX302730,CUST10180,2026-02-01,Wire,Debit,18670.69,United States,0,CASE0001
TX318443,CUST10180,2026-06-03,ACH,Debit,7570.72,Mexico,0,CASE0001
TX307881,CUST10180,2026-08-10,Card,Credit,8432.93,Nigeria,1,CASE0001
TX304105,CUST10180,2026-09-11,P2P,Debit,13421.83,India,0,CASE0001
TX300761,CUST10180,2026-09-20,ACH,Debit,29408.44,United Arab Emirates,1,CASE0001
TX312322,CUST10180,2026-09-21,Cash Deposit,Credit,1050.84,United Arab Emirates,1,CASE0001
