case_id,customer_id,created_date,case_risk_score,priority,reviewed_amount,primary_red_flag,disposition,sar_decision_reason,sar_id,sar_status,filing_date
CASE0001,CUST10180,2026-03-27,60,Moderate,148832.22,Unusual Volume,SAR Filed,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.,SAR0001,Filed,2026-04-01
CASE0002,CUST10882,2026-09-11,51,High,192781.88,Structuring,SAR Filed,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.,SAR0002,Filed,2026-09-20
CASE0005,CUST10433,2026-04-21,73,High,80237.59,Rapid Movement,SAR Filed,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.,SAR0003,Filed,2026-04-25
CASE0008,CUST10229,2026-07-25,51,Moderate,15355.69,Unusual Volume,SAR Filed,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.,SAR0004,Filed,2026-08-03
CASE0016,CUST10736,2026-07-16,67,High,157161.23,High-Risk Jurisdiction,SAR Recommended,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.,SAR0005,Recommended,2026-07-31
CASE0024,CUST10790,2026-05-05,72,High,140818.94,Unusual Volume,SAR Filed,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.,SAR0006,Filed,2026-05-07
CASE0026,CUST10469,2026-07-26,58,Moderate,69201.42,Funnel Activity,SAR Filed,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.,SAR0007,Filed,2026-08-10
CASE0027,CUST10484,2026-06-01,49,Low,43832.5,Structuring,SAR Recommended,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.,SAR0008,Recommended,2026-06-15
CASE0031,CUST10471,2026-07-02,68,High,332500.79,Funnel Activity,SAR Recommended,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.,SAR0009,Recommended,2026-07-10
CASE0035,CUST10043,2026-08-12,77,High,14590.39,Activity Inconsistent with Profile,SAR Recommended,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.,SAR0010,Recommended,2026-08-25
CASE0041,CUST10719,2026-03-09,64,Moderate,76160.11,Unusual Volume,SAR Filed,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.,SAR0011,Filed,2026-03-22
CASE0042,CUST10580,2026-05-19,84,Critical,7708.99,Activity Inconsistent with Profile,SAR Filed,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.,SAR0012,Filed,2026-05-27
CASE0044,CUST10684,2026-07-29,83,Critical,427557.92,Unusual Volume,SAR Filed,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.,SAR0013,Filed,2026-08-13
CASE0047,CUST10586,2026-08-13,54,Moderate,25470.23,Activity Inconsistent with Profile,SAR Recommended,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.,SAR0014,Recommended,2026-08-22
CASE0050,CUST10645,2026-06-16,51,Moderate,6051.48,High-Risk Jurisdiction,SAR Recommended,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.,SAR0015,Recommended,2026-06-28
CASE0051,CUST10836,2026-04-10,69,High,27215.34,Activity Inconsistent with Profile,SAR Filed,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.,SAR0016,Filed,2026-04-17
CASE0055,CUST10488,2026-01-30,69,High,40834.01,Funnel Activity,SAR Filed,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.,SAR0017,Filed,2026-02-09
CASE0056,CUST10498,2026-06-14,56,High,48771.99,Structuring,SAR Recommended,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.,SAR0018,Recommended,2026-06-24
CASE0060,CUST10557,2026-04-15,75,High,35653.12,Structuring,SAR Filed,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.,SAR0019,Filed,2026-04-22
CASE0062,CUST10143,2026-06-04,44,High,184603.41,Structuring,SAR Recommended,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.,SAR0020,Recommended,2026-06-06
CASE0065,CUST10839,2026-03-14,63,Moderate,44978.13,Activity Inconsistent with Profile,SAR Filed,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.,SAR0021,Filed,2026-03-25
CASE0077,CUST10015,2026-08-10,62,Critical,17794.81,Rapid Movement,SAR Filed,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.,SAR0022,Filed,2026-08-20
