transaction_id,customer_id,transaction_date,channel,direction,amount,counterparty_country,high_risk_geo_flag
TX300000,CUST10217,2026-08-09,Wire,Credit,9019.96,Canada,0
TX300001,CUST10874,2026-08-30,Cash Deposit,Credit,17966.45,United Arab Emirates,1
TX300002,CUST10556,2026-05-15,Wire,Debit,10373.77,Canada,0
TX300003,CUST10526,2026-04-30,Cash Withdrawal,Debit,14642.11,Mexico,0
TX300004,CUST10613,2026-06-26,ACH,Debit,708.94,China,0
TX300005,CUST10391,2026-05-06,Cash Deposit,Debit,29516.72,United Kingdom,0
TX300006,CUST10521,2026-03-19,P2P,Credit,8241.16,China,0
TX300007,CUST10353,2026-02-12,Wire,Debit,6902.42,Mexico,0
TX300008,CUST10221,2026-06-12,Card,Credit,23334.19,United Arab Emirates,1
TX300009,CUST10221,2026-04-15,P2P,Debit,5159.42,India,0
TX300010,CUST10125,2026-02-02,Wire,Credit,4474.04,Nigeria,1
TX300011,CUST10394,2026-03-17,Cash Deposit,Credit,7445.1,India,0
TX300012,CUST10273,2026-03-06,Check,Credit,4257.09,Nigeria,1
TX300013,CUST10711,2026-05-16,Cash Deposit,Debit,2019.58,China,0
TX300014,CUST10107,2026-08-06,P2P,Credit,19604.8,United Kingdom,0
TX300015,CUST10302,2026-08-30,Cash Deposit,Credit,40742.12,China,0
TX300016,CUST10013,2026-05-27,Wire,Credit,783.86,Canada,0
TX300017,CUST10578,2026-06-10,P2P,Credit,5667.02,Mexico,0
TX300018,CUST10205,2026-05-17,Card,Debit,8326.56,Turkey,1
TX300019,CUST10507,2026-01-11,Wire,Credit,4578.23,Mexico,0
TX300020,CUST10624,2026-06-27,Cash Deposit,Credit,5987.09,Mexico,0
TX300021,CUST10804,2026-06-26,Wire,Debit,3112.31,United States,0
TX300022,CUST10552,2026-03-13,Cash Deposit,Credit,705.75,United Kingdom,0
TX300023,CUST10752,2026-05-14,Card,Credit,6056.11,China,0
TX300024,CUST10111,2026-04-29,Card,Debit,7457.69,Russia,1
TX300025,CUST10706,2026-04-02,Cash Deposit,Debit,1862.63,Nigeria,1
TX300026,CUST10109,2026-05-15,ACH,Debit,85913.87,Nigeria,1
TX300027,CUST10526,2026-05-22,Wire,Debit,2784.91,Russia,1
TX300028,CUST10019,2026-09-04,ACH,Credit,15745.96,United Arab Emirates,1
TX300029,CUST10715,2026-04-05,Check,Credit,6534.89,United States,0
TX300030,CUST10320,2026-09-22,ACH,Debit,610.22,Canada,0
TX300031,CUST10370,2026-04-22,ACH,Credit,31534.58,United Arab Emirates,1
TX300032,CUST10641,2026-06-22,Cash Withdrawal,Credit,9991.68,Mexico,0
TX300033,CUST10567,2026-08-08,P2P,Credit,5245.23,India,0
TX300034,CUST10516,2026-03-11,Card,Credit,568.01,Mexico,0
TX300035,CUST10575,2026-05-30,Card,Debit,2929.84,India,0
TX300036,CUST10433,2026-08-14,P2P,Debit,411269.25,Mexico,0
TX300037,CUST10180,2026-05-21,Wire,Debit,17159.88,United Arab Emirates,1
TX300038,CUST10001,2026-09-11,ACH,Credit,2127.66,United Arab Emirates,1
TX300039,CUST10078,2026-03-03,Card,Debit,2113.51,China,0
TX300040,CUST10089,2026-02-11,Wire,Debit,5054.55,China,0
TX300041,CUST10031,2026-04-12,Check,Debit,9406.35,China,0
TX300042,CUST10574,2026-06-05,ACH,Credit,3131.88,United States,0
TX300043,CUST10072,2026-05-23,Card,Debit,2864.05,Nigeria,1
TX300044,CUST10106,2026-03-23,Cash Deposit,Credit,4261.7,Nigeria,1
TX300045,CUST10413,2026-07-28,Card,Debit,1465.71,Turkey,1
TX300046,CUST10623,2026-01-17,Card,Credit,1709.58,United States,0
TX300047,CUST10176,2026-09-03,Cash Deposit,Debit,3071.27,Nigeria,1
TX300048,CUST10421,2026-07-23,Cash Withdrawal,Debit,3159.61,United Kingdom,0
TX300049,CUST10302,2026-01-04,P2P,Credit,7460.14,Nigeria,1
TX300050,CUST10002,2026-08-30,P2P,Debit,872.51,Russia,1
TX300051,CUST10672,2026-09-17,Card,Credit,8060.69,Turkey,1
TX300052,CUST10532,2026-07-15,Cash Deposit,Debit,8863.19,Nigeria,1
TX300053,CUST10417,2026-05-09,Check,Credit,2130.97,Canada,0
TX300054,CUST10458,2026-01-08,Wire,Credit,15192.94,Russia,1
TX300055,CUST10677,2026-07-05,Check,Credit,2747.77,Russia,1
TX300056,CUST10110,2026-09-12,ACH,Debit,11967.35,Turkey,1
TX300057,CUST10537,2026-09-14,Wire,Credit,4461.73,Russia,1
TX300058,CUST10681,2026-03-14,ACH,Debit,37287.53,Canada,0
TX300059,CUST10696,2026-06-05,Check,Debit,3318.14,Canada,0
TX300060,CUST10586,2026-09-07,Wire,Debit,2473.7,Mexico,0
TX300061,CUST10384,2026-05-15,Cash Withdrawal,Debit,11255.85,Nigeria,1
TX300062,CUST10757,2026-04-20,P2P,Debit,105944.9,Turkey,1
TX300063,CUST10841,2026-05-13,Card,Credit,4938.83,India,0
TX300064,CUST10110,2026-01-14,Check,Debit,22350.47,United Arab Emirates,1
TX300065,CUST10870,2026-07-23,Wire,Credit,9505.66,Nigeria,1
TX300066,CUST10132,2026-07-09,P2P,Credit,9353.06,India,0
TX300067,CUST10170,2026-04-29,Cash Deposit,Credit,7588.85,Canada,0
TX300068,CUST10684,2026-02-04,ACH,Credit,2894.68,United Kingdom,0
TX300069,CUST10172,2026-06-13,Wire,Credit,17111.51,China,0
TX300070,CUST10250,2026-05-24,P2P,Credit,2024.2,Russia,1
TX300071,CUST10465,2026-06-27,Wire,Credit,20729.71,India,0
TX300072,CUST10622,2026-08-13,Cash Deposit,Credit,3191.34,United States,0
TX300073,CUST10575,2026-07-31,Wire,Debit,2406.14,Russia,1
TX300074,CUST10233,2026-01-31,Wire,Credit,2214.07,United Arab Emirates,1
TX300075,CUST10215,2026-03-08,Check,Debit,1137.51,China,0
TX300076,CUST10642,2026-06-15,Cash Withdrawal,Credit,2265.69,Canada,0
TX300077,CUST10479,2026-01-31,ACH,Debit,4046.81,United Kingdom,0
TX300078,CUST10223,2026-03-21,Cash Withdrawal,Debit,3062.73,India,0
TX300079,CUST10103,2026-04-23,Wire,Debit,37488.38,China,0
TX300080,CUST10375,2026-02-25,Wire,Debit,8128.8,India,0
TX300081,CUST10531,2026-09-05,Wire,Debit,9078.4,Russia,1
TX300082,CUST10494,2026-07-04,Card,Debit,17178.57,China,0
TX300083,CUST10593,2026-05-18,Wire,Credit,5138.02,India,0
TX300084,CUST10761,2026-07-24,Card,Credit,918.77,United States,0
TX300085,CUST10658,2026-07-13,Cash Withdrawal,Credit,1479.47,China,0
TX300086,CUST10071,2026-09-03,Cash Deposit,Credit,13747.18,India,0
TX300087,CUST10671,2026-03-11,Wire,Debit,4588.19,Canada,0
TX300088,CUST10735,2026-04-11,ACH,Debit,1107.72,Canada,0
TX300089,CUST10304,2026-06-02,P2P,Debit,1968.54,United Kingdom,0
TX300090,CUST10555,2026-06-28,ACH,Debit,4677.42,Mexico,0
TX300091,CUST10590,2026-01-08,P2P,Debit,5810.46,Nigeria,1
TX300092,CUST10019,2026-01-27,Cash Withdrawal,Debit,18596.34,Nigeria,1
TX300093,CUST10874,2026-08-14,Card,Debit,2987.81,United States,0
TX300094,CUST10371,2026-03-25,P2P,Debit,7568.17,Canada,0
TX300095,CUST10118,2026-07-28,P2P,Debit,4240.61,United States,0
TX300096,CUST10328,2026-05-03,Wire,Credit,2044.29,Canada,0
TX300097,CUST10533,2026-06-29,ACH,Debit,14640.81,Canada,0
TX300098,CUST10475,2026-07-08,Cash Deposit,Debit,2675.63,Mexico,0
TX300099,CUST10813,2026-02-02,ACH,Debit,7513.9,United Kingdom,0
TX300100,CUST10775,2026-08-31,Cash Deposit,Credit,4581.78,Turkey,1
TX300101,CUST10004,2026-02-23,ACH,Debit,2398.7,United States,0
TX300102,CUST10763,2026-07-10,Wire,Debit,4041.19,Russia,1
TX300103,CUST10370,2026-03-27,Cash Deposit,Credit,371.58,United Arab Emirates,1
TX300104,CUST10683,2026-06-13,Wire,Debit,3242.24,Canada,0
TX300105,CUST10821,2026-09-19,Wire,Debit,33370.4,China,0
TX300106,CUST10848,2026-05-10,ACH,Debit,3482.23,Canada,0
TX300107,CUST10204,2026-04-13,ACH,Credit,7924.5,United Kingdom,0
TX300108,CUST10101,2026-07-24,Card,Debit,47349.17,Mexico,0
TX300109,CUST10278,2026-06-22,P2P,Debit,23312.1,United Arab Emirates,1
TX300110,CUST10416,2026-03-10,P2P,Debit,1859.77,Turkey,1
TX300111,CUST10360,2026-09-11,Cash Withdrawal,Credit,1252.17,Mexico,0
TX300112,CUST10595,2026-01-09,Wire,Credit,5149.54,Mexico,0
TX300113,CUST10349,2026-07-05,P2P,Credit,4682.84,Turkey,1
TX300114,CUST10696,2026-09-29,P2P,Credit,2007.79,China,0
TX300115,CUST10136,2026-07-13,Card,Debit,35046.08,Turkey,1
TX300116,CUST10786,2026-01-11,P2P,Credit,2618.47,United Kingdom,0
TX300117,CUST10241,2026-08-06,Check,Debit,15027.01,Russia,1
TX300118,CUST10668,2026-05-06,ACH,Debit,5323.62,India,0
TX300119,CUST10747,2026-02-25,Wire,Debit,14782.9,Turkey,1
TX300120,CUST10845,2026-05-03,ACH,Debit,37967.61,Russia,1
TX300121,CUST10676,2026-01-16,P2P,Credit,10276.82,United Arab Emirates,1
TX300122,CUST10645,2026-05-07,ACH,Credit,2693.93,China,0
TX300123,CUST10426,2026-05-30,Cash Withdrawal,Credit,2751.44,Canada,0
TX300124,CUST10095,2026-09-24,Cash Deposit,Credit,8445.45,Canada,0
TX300125,CUST10238,2026-05-21,Cash Deposit,Debit,1460.85,Nigeria,1
TX300126,CUST10525,2026-06-23,Wire,Credit,3291.26,Canada,0
TX300127,CUST10705,2026-01-07,Check,Credit,36728.98,Canada,0
